Age	M	F	Total 0-14	Total 65+	Total active
0-4	32318569	28826052	239340939	203394991	982935414
5-9	47383460	41333615			
10-14	48174207	41305036			
15-19	44185169	37675535			
20-24	42752184	36683449			
25-29	46002635	40232687			
30-34	59129589	53395144			
35-39	58979445	54848838			
40-44	51128552	48550099			
45-49	50073949	48295878			
50-54	61710010	60666383			
55-59	56752851	57199238			
60-64	36656033	38017746			
65-69	36253701	39813049			
70-74	26850709	31682096			
75-79	15120451	18452294			
80-84	8451478	11610011			
85-89	3999237	6746941			
90-94	1112028	2584086			
95-99	134381	532052			
100+	4165	48312			
