Data Source																																																															
																																																															
Last Updated Date																																																															
																																																															
Country Name	Sex	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Aruba	male	26834	27431	27863	28256	28608	28906	29155	29268	29239	29163	29044	28890	28902	29137	29433	29744	29947	30049	30154	30257	30358	30492	30727	31024	31288	31471	31547	31547	31544	31703	32231	33207	34251	35223	36273	37325	38403	39522	40667	41816	42833	43513	43950	44327	44663	45069	45591	46151	46724	47292	47858	48307	48632	48927	49191	49430	49650	49847	50026	50188	50211	50207
Africa Eastern and Southern	male	64839355	66562958	68378478	70254903	72219820	74263952	76345445	78502294	80763883	83102560	85507051	87998383	90547667	93207480	96034288	98944416	101913663	104883320	108065436	111481953	114907283	118411702	121976676	125446413	128864585	132374918	136219908	140423504	144506848	148602519	152948450	157246001	161323998	165457214	169655623	173980232	178517277	183072227	187706530	192526561	197551972	202744227	208105454	213639672	219383109	225323582	231510642	237971119	244643269	251454018	258458696	265618237	272984078	280667089	288561829	296812390	304990070	313109073	321597902	330311880	339222972	348121749
Afghanistan	male	4476521	4556369	4642166	4732954	4828823	4930806	5037166	5148111	5264694	5385983	5513404	5643110	5776971	5920001	6066275	6209118	6342102	6472323	6596024	6612822	6349775	5665035	5114320	5035098	5169086	5286542	5241168	5170108	5195399	5338559	5348387	5372959	6028494	7003641	7733458	8219467	8569175	8916862	9275541	9667811	9815442	9895467	10562202	11397483	11862726	12302104	12828447	13067961	13339006	13827977	14240377	14780282	15399105	15946572	16543889	17071446	17520861	18028696	18549862	19090409	19692301	20254878
Africa Western and Central	male	48453387	49463944	50516419	51622609	52763251	53946909	55176615	56429754	57717448	59055234	60461179	61931295	63463359	65080376	66793142	68605342	70471721	72404617	74435852	76549999	78721568	80963887	83309032	85570250	87816401	90211313	92672544	95203780	97830547	100568038	103260517	105988431	108894123	111819863	114779028	117882199	121057076	124313765	127707558	131185656	134816397	138613261	142544253	146607408	150802028	155128353	159566469	164131785	168835003	173692501	178692528	183831229	189042690	194304472	199691984	205176501	210797955	216559711	222392987	228301205	234311512	240372329
Angola	male	2686966	2736939	2778711	2820354	2860608	2897642	2930305	2959577	2989203	3026265	3076353	3144102	3232291	3333481	3440057	3549297	3659998	3776071	3899460	4028871	4165901	4310289	4461876	4619813	4782882	4952001	5125813	5298022	5471528	5651993	5837431	6029631	6224203	6416502	6616409	6834872	7068150	7309709	7553740	7799340	8054751	8322504	8603948	8904704	9226105	9564193	9917959	10289510	10678522	11084704	11510656	11955662	12417550	12894065	13381965	13878923	14390171	14915293	15445494	15983035	16517497	17051491
Albania	male	823752	850324	877319	904376	931687	958638	985191	1012445	1042667	1074358	1103177	1131270	1160831	1189506	1217969	1246949	1275199	1303976	1331341	1357858	1385442	1412573	1441394	1470490	1499501	1527920	1554590	1582382	1608490	1647716	1672564	1657265	1641879	1626510	1611360	1596532	1582170	1568273	1555099	1542851	1531486	1516640	1512520	1508084	1503547	1497909	1490629	1481621	1472476	1464541	1458913	1456171	1454486	1452162	1449241	1444890	1442176	1440219	1435881	1428828	1419264	1404454
Andorra	male	4773	5186	5612	6056	6516	6986	7521	8182	8924	9682	10463	11266	12097	12957	13838	14732	15631	16525	17401	18250	19052	19805	20642	21563	22437	23241	24162	25238	26308	27360	28390	29350	30270	31212	32163	33121	33694	33867	34027	34163	34285	35151	36773	38429	40082	41679	41829	40535	39191	37787	36307	35672	35885	36043	36148	36188	36628	37380	38071	38842	39615	40361
Arab World	male	47000663	48219970	49504662	50848861	52250100	53706745	55208797	56771355	58402978	60092110	61824330	63606004	65449642	67367616	69402451	71666030	74292261	76985560	79513756	82292220	85284358	88121537	90965525	93941397	96950627	99963079	103068213	106178567	109062214	111958960	115524986	118110495	121152377	124485206	127911542	131126139	134322228	137577574	140813742	144057749	147372583	150692372	154042051	157408982	160812658	164610917	169022419	173897535	178974938	183992599	188615966	192771152	196985610	201549697	206143891	210751036	215379725	219863044	224412950	228907787	232616766	236071329
United Arab Emirates	male	81077	86124	91333	96666	102102	107650	113319	119070	135631	166234	200546	235683	271546	308101	345330	383185	434554	500721	569890	641645	714328	768133	804030	841133	878846	917181	973514	1047578	1122008	1196684	1271462	1346225	1420821	1494992	1568420	1641639	1739745	1862993	1987116	2111979	2237588	2363814	2490318	2616985	2743771	2955416	3428088	4181088	5044718	5818211	6174991	6210600	6244376	6276725	6307775	6337454	6365662	6392484	6418331	6443813	6475368	6512037
Argentina	male	10191482	10345584	10506660	10669192	10831793	10994680	11160113	11327623	11495179	11663371	11837757	12014710	12193317	12381457	12580117	12779176	12975103	13175780	13382114	13592350	13804052	14018171	14234248	14452651	14672462	14894307	15121779	15353727	15589854	15827047	16063515	16298168	16529209	16757748	16989567	17220607	17443158	17655867	17863135	18072503	18280746	18484124	18683681	18879701	19077001	19279145	19484104	19685381	19886051	20095357	20154486	20395723	20634269	20870445	21106519	21340426	21571303	21800696	22027014	22249019	22465694	22678199
